Barangay,University,Distance (km),Time (mins),Rides
Haway,UP Manila School of Health Sciences - Tarlac,84.35,81.2,-
Haway,University of Cordilleras,68.26,92.5,4 rides
Haway,Central Luzon State University,93.41,95.3,4 rides
Haway,University of Baguio,69.24,96.1,4 rides
Haway,DMMMSU – Mid La Union Campus (MLUC),72.46,96.5,3 rides
Haway,Saint Louis University - Baguio,69.91,97.7,4 rides
Haway,Benguet State University - La Trinidad,74.21,105.9,4 rides
Haway,Philippine Military Academy,74.89,106.2,4 rides
Haway,Polytechnic University of the Philippines - Manila,204.2,177.5,5 rides
Haway,University of the Philippines - Diliman,203.68,177.6,5 rides
Haway,University of the Philippines - Manila,205.31,181.2,5 rides
Haway,Maritime Academy of Asia and the Pacific,217.97,191.3,4 rides
Imbalbalatong,University of Eastern Pangasinan,9.62,11.5,2 rides
Imbalbalatong,Pangasinan State University - Urdaneta City,16.63,16.7,2 rides
Imbalbalatong,Urdaneta City University,18.99,19.3,3 rides
Imbalbalatong,Pangasinan State University - Asingan,24.97,26.6,3 rides
Imbalbalatong,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,30.32,35.1,2 rides
Imbalbalatong,DMMMSU – South La Union Campus  (SLUC) - Agoo,36.54,43.8,2 rides
Imbalbalatong,University of Pangasinan - PHINMA,26.14,43.9,3 rides
Imbalbalatong,Pangasinan Merchant Marine Academy,26.74,45.3,3 rides
Imbalbalatong,Lyceum-Northwestern University,28.06,48.1,3 rides
Imbalbalatong,University of the Philippines - Baguio,46.47,57.0,3 rides
Imbalbalatong,Pangasinan State University - Bayambang,48.05,59.1,3 rides
Imbalbalatong,Tarlac State University - Tarlac,78.86,69.1,2 rides
Imbalbalatong,Pangasinan State University - Lingayen,59.4,69.7,4 rides
Imbalbalatong,Pangasinan Polytechnic College,59.66,69.9,4 rides
Imbalbalatong,UP Manila School of Health Sciences - Tarlac,80.12,70.8,-
Imbalbalatong,University of Cordilleras,64.11,83.9,3 rides
Imbalbalatong,Central Luzon State University,89.17,84.9,3 rides
Imbalbalatong,University of Baguio,65.1,87.5,3 rides
Imbalbalatong,DMMMSU – Mid La Union Campus (MLUC),68.32,87.9,2 rides
Imbalbalatong,Saint Louis University - Baguio,65.77,89.1,3 rides
Imbalbalatong,Benguet State University - La Trinidad,70.07,97.3,3 rides
Imbalbalatong,Philippine Military Academy,70.75,97.6,3 rides
Imbalbalatong,Polytechnic University of the Philippines - Manila,199.97,167.1,4 rides
Imbalbalatong,University of the Philippines - Diliman,199.45,167.2,4 rides
Imbalbalatong,University of the Philippines - Manila,201.07,170.9,4 rides
Imbalbalatong,Maritime Academy of Asia and the Pacific,213.73,180.9,3 rides
Inoman,University of Eastern Pangasinan,13.86,17.6,2 rides
Inoman,Pangasinan State University - Urdaneta City,21.88,22.0,2 rides
Inoman,Urdaneta City University,24.24,24.6,3 rides
Inoman,Pangasinan State University - Asingan,30.23,31.9,3 rides
Inoman,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,29.21,35.3,2 rides
Inoman,DMMMSU – South La Union Campus  (SLUC) - Agoo,35.43,44.0,2 rides
Inoman,University of Pangasinan - PHINMA,28.65,45.9,3 rides
Inoman,Pangasinan Merchant Marine Academy,29.25,47.3,3 rides
Inoman,Lyceum-Northwestern University,30.58,50.1,3 rides
Inoman,University of the Philippines - Baguio,45.36,57.2,3 rides
Inoman,Pangasinan State University - Bayambang,53.3,64.4,3 rides
Inoman,Tarlac State University - Tarlac,82.62,71.6,2 rides
Inoman,Pangasinan State University - Lingayen,45.6,72.1,4 rides
Inoman,Pangasinan Polytechnic College,45.86,72.3,4 rides
Inoman,UP Manila School of Health Sciences - Tarlac,83.88,73.3,-
Inoman,University of Cordilleras,63.01,84.1,3 rides
Inoman,Central Luzon State University,92.94,87.4,3 rides
Inoman,University of Baguio,64.0,87.7,3 rides
Inoman,DMMMSU – Mid La Union Campus (MLUC),67.22,88.1,2 rides
